1.5	0.392959	-0.0431106	0.00569322	0.963901
1.8125	0.385457	-0.0413853	0.00518806	0.978464
2.125	0.379439	-0.0417668	0.00498611	0.981614
2.5	0.377354	-0.0417788	0.00482222	0.98508
3	0.372213	-0.0437837	0.00539065	0.985782
3.5625	0.366798	-0.0438415	0.00624899	0.98514
4.25	0.360456	-0.0444993	0.00580464	0.985718
5.0625	0.356039	-0.0446641	0.00532716	0.986117
6	0.352133	-0.0467919	0.0058599	0.987042
7.125	0.349429	-0.0474658	0.0060829	0.987387
8.5	0.3468	-0.0513636	0.00585852	0.987749
10.125	0.343815	-0.0546404	0.00628608	0.987463
12.0625	0.340746	-0.0569246	0.00650133	0.987267
14.375	0.339593	-0.0583756	0.00642353	0.988065
17.125	0.333408	-0.0607863	0.0067107	0.987895
20.375	0.325937	-0.0617974	0.00693838	0.987673
24.25	0.31957	-0.0650521	0.00666106	0.989506
28.8125	0.317898	-0.0676847	0.00602529	0.990424
34.25	0.310743	-0.0696725	0.00830532	0.987391
40.75	0.297496	-0.0705533	0.0108701	0.984469
48.4375	0.279659	-0.0716133	0.0122687	0.979728
57.625	0.266242	-0.0734956	0.0127452	0.983305
68.5	0.256385	-0.0727558	0.0141645	0.981208
81.4375	0.246842	-0.0760861	0.0167659	0.978905
96.875	0.239498	-0.0788707	0.018068	0.966946
115.188	0.242305	-0.0810504	0.0216401	0.959382
137	0.237588	-0.0900315	0.0207911	0.964278

