255744	443	-213	88	0.22
327456	491	-188	83	0.29
421632	511	-216	74	0.39
543456	552	-260	64	0.5
701568	608	-222	77	0.53
903744	586	-278	134	0.51
1166400	609	-291	82	0.59
1505088	766	-327	101	0.73
1940544	858	-356	94	0.79
2505600	739	-417	121	0.75
3236544	744	-356	157	0.72
4180032	876	-373	224	0.67
5396544	1015	-376	266	0.82
6969888	1163	-359	578	0.77
9000288	1504	-547	300	0.92

